   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,                 lr0,                 lrf,            momentum,        weight_decay,       warmup_epochs,     warmup_momentum,      warmup_bias_lr,                 box,                 cls,              cls_pw,                 obj,              obj_pw,               iou_t,            anchor_t,            fl_gamma,               hsv_h,               hsv_s,               hsv_v,             degrees,           translate,               scale,               shear,         perspective,              flipud,              fliplr,              mosaic,               mixup,          copy_paste,               theta,            theta_pw,           cls_theta,          csl_radius,             anchors
             0.96188,              0.9907,             0.98448,             0.85095,            0.013908,            0.013414,          1.6758e-07,            0.055453,               0.001,              0.0001,               0.937,              0.0005,                   3,                 0.8,                 0.1,                0.05,                 0.8,                   1,                   1,                   1,                 0.5,                   4,                   0,               0.015,                 0.7,                 0.4,                   0,                 0.1,                0.25,                   0,                   0,                 0.5,                 0.5,                   0,                   0,                   0,                 0.5,                   1,                 180,                   2,                   3
             0.60563,             0.81986,             0.73998,             0.33101,            0.026565,           0.0012616,          5.9878e-07,            0.014536,               0.001,             0.00097,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,                   1,                 0.7,                   2,                   2,                   0,             0.01535,             0.68451,             0.40373,                   0,                 0.1,             0.25936,                   0,                   0,                 0.5,                 0.5,                   0,                   0,                 0.5,                   1,                 180,                   2,                   2
             0.67066,             0.67436,             0.67787,             0.29202,            0.027033,           0.0012814,          6.1049e-07,            0.014606,               0.001,             0.00104,                 0.9,               0.001,                   3,                0.95,                 0.2,             0.09893,                 0.8,                   1,                   1,              1.0217,                 0.7,                   2,                   2,                   0,             0.01519,             0.73095,                 0.4,                   0,             0.10327,             0.23245,                   0,                   0,                 0.5,               0.502,                   0,                   0,                 0.5,                   1,                 180,                   2,                   2
             0.65309,             0.79677,             0.77503,             0.38159,            0.031491,           0.0014615,          6.5216e-07,            0.014328,               0.001,             0.00108,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,              1.0914,                   1,                 0.7,                   2,                   2,                 0.1,                   0,             0.01708,             0.58786,             0.35985,                   0,              0.0982,               0.001,                   0,                   0,             0.54526,               0.507,                   0,                 0.5,                   1,                 180,                   2,                   2
             0.66209,             0.78753,              0.7291,             0.34946,            0.031524,           0.0014177,          5.4722e-07,            0.014417,               0.001,             0.00101,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,                   1,                 0.7,                   2,                   2,                 0.1,                   0,             0.01533,             0.68451,             0.40372,                   0,              0.0997,               0.001,                   0,                   0,             0.49646,             0.49597,                   0,                 0.5,                   1,                 180,                   2,                   2
              0.7487,             0.81524,             0.80399,             0.36732,            0.032826,           0.0014487,          5.3392e-07,            0.014324,               0.001,             0.00109,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,              1.0436,                 0.7,                   2,                   2,                 0.1,                   0,             0.01704,             0.66583,             0.40639,                   0,             0.10611,               0.001,                   0,                   0,             0.55037,                 0.5,                   0,                 0.5,                   1,                 180,                   2,                   2
             0.67748,             0.72979,             0.72709,             0.31211,            0.037176,           0.0021153,          6.9049e-07,            0.014664,               0.001,             0.00098,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,              1.1567,                   1,                 0.7,                   2,                   2,                 0.1,             0.09343,                   0,             0.01669,             0.59907,             0.48234,                   0,               0.001,               0.001,                   0,                   0,             0.55037,              0.5228,                 0.5,                   1,                 180,                   2,                   2
             0.73907,             0.71301,             0.73336,             0.30916,            0.038997,           0.0023568,           7.965e-07,             0.01464,               0.001,             0.00088,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,              1.1968,               1.032,                 0.7,                   2,                   2,                 0.1,             0.10558,                   0,             0.01516,             0.65795,                0.47,                   0,               0.001,             0.00102,                   0,                   0,             0.75495,                 0.5,                 0.5,                   1,                 180,                   2,                   2
             0.69854,             0.81524,              0.7104,             0.29464,              0.0373,           0.0020434,          1.1733e-06,            0.014822,               0.001,             0.00095,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,              1.0073,                   1,                 0.7,                   2,                   2,                 0.1,              0.0671,                   0,             0.01704,             0.88158,             0.32055,                   0,               0.001,             0.00124,                   0,                   0,             0.55037,             0.47123,                 0.5,                   1,                 180,                   2,                   2
             0.66382,             0.57044,             0.61634,             0.23347,            0.040449,           0.0020678,           1.115e-06,            0.014936,               0.001,             0.00093,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,                   1,                 0.7,                   2,                   2,                 0.1,             0.06371,                   0,             0.01188,             0.81745,             0.40639,                   0,               0.001,             0.00086,                   0,                   0,             0.55335,             0.49499,                 0.5,                   1,                 180,                   2,                   2
             0.61224,             0.49654,             0.52782,             0.21583,            0.036611,           0.0022022,          7.9271e-07,            0.015099,               0.001,              0.0007,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,              1.0592,                 0.7,                   2,                   2,                 0.1,             0.08355,                   0,              0.0166,             0.67929,              0.2569,                   0,               0.001,             0.00121,                   0,                   0,             0.55037,                 0.5,                 0.5,                   1,                 180,                   2,                   2
             0.67523,             0.69624,              0.7121,             0.29868,             0.03706,            0.002095,           7.788e-07,            0.014731,               0.001,               0.001,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,                   1,                 0.7,                   2,                   2,                 0.1,             0.09589,                   0,             0.01854,             0.66119,             0.36035,                   0,               0.001,             0.00103,                   0,                   0,             0.54668,             0.48886,                 0.5,                   1,                 180,                   2,                   2
             0.73485,             0.62087,             0.67284,             0.27127,            0.038077,           0.0018764,          9.3172e-07,            0.014775,               0.001,             0.00113,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,                   1,                 0.7,                   2,                   2,                 0.1,                 0.1,                   0,             0.01394,             0.75311,             0.42553,                   0,               0.001,             0.00087,                   0,                   0,             0.51057,             0.52998,                 0.5,                   1,                 180,                   2,                   2
             0.51628,             0.49192,             0.50693,             0.17791,            0.038049,           0.0022958,          9.0338e-07,             0.01495,               0.001,             0.00112,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,                   1,              1.1543,                 0.7,                   2,                   2,                 0.1,             0.10597,                   0,             0.01704,             0.66583,              0.4647,                   0,               0.001,               0.001,                   0,                   0,             0.53286,              0.5652,                 0.5,                   1,                 180,                   2,                   2
             0.64785,             0.61663,             0.61993,              0.2405,            0.037866,           0.0024958,          7.8278e-07,             0.01473,               0.001,             0.00054,                 0.9,               0.001,                   3,                0.95,                 0.2,                 0.1,                 0.8,                   1,              1.2295,                   1,                 0.7,                   2,                   2,                 0.1,             0.12127,                   0,             0.01899,             0.65095,             0.26254,                   0,               0.001,             0.00071,                   0,                   0,             0.61414,             0.61174,                 0.5,                   1,                 180,                   2,                   2
